ICODE,ITEM_EXTINCT
BM67373,Non Extinct
BM67375,Non Extinct
BM55164,Non Extinct
BM55163,Non Extinct
BM62875,Non Extinct
BM62874,Non Extinct
BM51605,Non Extinct
BM51604,Non Extinct
BM68628,Non Extinct
BM66235,Non Extinct
BM5360,Extinct
BM44552,Non Extinct
BM41428,Non Extinct
BM48908,Extinct
BM48909,Non Extinct
BM66231,Non Extinct
BM66232,Non Extinct
BM25026,Non Extinct
BM55056,Non Extinct
BM9936,Non Extinct
BM1152,Non Extinct
BM4307,Non Extinct
BM9051,Extinct
BM49689,Non Extinct
BM9052,Extinct
BM4308,Non Extinct
BM52033,Non Extinct
BM52037,Non Extinct
BM9041,Extinct
BM9043,Extinct
BM48904,Non Extinct
BM9050,Extinct
BM4477,Non Extinct
BM3982,Non Extinct
BM48911,Non Extinct
BM48914,Extinct
BM48915,Non Extinct
BM54816,Non Extinct
BM67567,Non Extinct
BM48552,Non Extinct
BM66447,Non Extinct
BM66449,Non Extinct
BM68207,Non Extinct
BM65652,Non Extinct
BM2362,Non Extinct
BM4309,Non Extinct
BM9008,Extinct
BM58963,Extinct
BM65886,Non Extinct
BM2352,Non Extinct
BM15571,Non Extinct
BM68320,Non Extinct
BM67741,Non Extinct
BM53711,Non Extinct
BM43811,Non Extinct
BM4280,Non Extinct
BM6850,Non Extinct
BM6849,Non Extinct
BM6853,Non Extinct
BM6818,Non Extinct
BM6815,Non Extinct
BM42781,Non Extinct
BM42535,Non Extinct
BM49664,Non Extinct
BM68379,Non Extinct
BM61075,Non Extinct
BM42514,Non Extinct
BM59860,Non Extinct
BM49748,Non Extinct
BM49749,Non Extinct
BM55437,Non Extinct
BM48698,Non Extinct
BM48700,Non Extinct
BM2125,Non Extinct
BM67377,Non Extinct
BM67382,Non Extinct
BM6844,Non Extinct
BM54786,Non Extinct
BM47593,Non Extinct
BM55180,Non Extinct
BM68325,Non Extinct
BM67740,Non Extinct
BM10080,Non Extinct
BM10049,Non Extinct
BM42771,Non Extinct
BM42611,Non Extinct
BM42453,Non Extinct
BM66613,Extinct
BM2356,Non Extinct
BM2358,Non Extinct
BM3962,Non Extinct
BM43078,Non Extinct
BM62233,Non Extinct
BM4285,Non Extinct
BM4270,Non Extinct
BM47194,Non Extinct
BM53827,Non Extinct
BM47690,Non Extinct
BM55022,Non Extinct
BM52169,Non Extinct
BM53360,Extinct
BM53362,Extinct
BM53359,Extinct
BM60492,Non Extinct
BM42610,Non Extinct
BM42613,Non Extinct
BM42622,Non Extinct
BM47444,Non Extinct
BM59523,Non Extinct
BM42773,Non Extinct
BM51149,Non Extinct
BM15545,Extinct
BM47802,Non Extinct
BM67885,Non Extinct
BM66828,Non Extinct
BM6489,Non Extinct
BM16235,Non Extinct
BM16237,Non Extinct
BM6491,Extinct
BM16238,Non Extinct
BM1190,Non Extinct
BM52208,Non Extinct
BM3948,Non Extinct
BM3957,Non Extinct
BM3958,Non Extinct
BM9047,Extinct
BM9057,Extinct
BM9060,Extinct
BM64534,Non Extinct
BM64856,Non Extinct
BM43626,Non Extinct
BM43632,Non Extinct
BM60606,Non Extinct
BM8910,Non Extinct
BM60603,Non Extinct
BM48930,Non Extinct
BM1853,Non Extinct
BM49468,Non Extinct
BM52949,Non Extinct
BM1854,Non Extinct
BM1855,Non Extinct
BM54831,Extinct
BM59859,Non Extinct
BM60971,Non Extinct
BM4557,Non Extinct
BM4559,Non Extinct
BM66707,Non Extinct
BM52210,Extinct
BM4556,Extinct
BM4561,Extinct
BM4564,Extinct
BM8956,Non Extinct
BM65695,Non Extinct
BM65696,Non Extinct
BM65691,Non Extinct
BM44546,Non Extinct
BM44548,Non Extinct
BM6494,Non Extinct
BM51905,Non Extinct
BM3051,Non Extinct
