ITEM_NAME,ICODE,BARCODE,DEPARTMENT,CAT5(MOQ),DIVISION,SECTION,ITEM_EXTINCT
KANG KUNG (THAI SPINACH) VEGETABLES   1 ,BM47326,8176,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
ROUND CHILLI VEGETABLES   1 ,BM47461,3528,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
LONG CHILLI VEGETABLES   1 ,BM47463,3529,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
BEAN SPROUTS MAAS TUSA VEGETABLES   1 ,BM47465,3530,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
DONDO LEAVES VEGETABLES   1 ,BM47466,3531,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
BEETROOT / KG FRUITS   1 ,BM25969,1209,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
TORUL FRUITS   1 ,BM26969,1211,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
GINGER VEGETABLES   3 ,BM8917,1009,LONG FRESH VEG,3,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
ONION RED/INDIAN VEGETABLES   10 ,BM8912,1004,LONG FRESH VEG,10,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
RED POTATO VEGETABLES   10 ,BM8910,1002,LONG FRESH VEG,10,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
TAMA VEGETABLES   1 ,BM16047,1125,LONG FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
GARLIC VEGETABLES   3 ,BM8918,1010,LONG FRESH VEG,3,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
RED POTATO VEGETABLES   10 ,BM8909,1001,LONG FRESH VEG,10,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
POTATO RED REGULAR (GRC) VEG KG  1 ,BM61544,8114,LONG FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
BABY POTATO VEGETABLES   10 ,BM12878,2108,LONG FRESH VEG,10,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
POTATO RED REGULAR (DHARNI) VEGETABLES   1 ,BM17981,8173,LONG FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
POTATO RED (BIG) VEGETABLES   10 ,BM20136,7116,LONG FRESH VEG,10,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
TARUL VEGETABLES   0 ,BM29434,2144,LONG FRESH VEG,0,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
SWEET POTATO(D) VEGETABLES   1 ,BM20090,7068,LONG FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
ONION RED/INDIAN.,BM67472,35,LONG FRESH VEG,0,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
I.L.D ROUND RED POTATO I.L.D   0 ,BM64650,12,LONG FRESH VEG,0,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
I.L.D ROUND RED POTATO (D) I.L.D   1 ,BM30875,7,LONG FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
LAPSI VEGETABLES   2 ,BM8976,1068,LONG FRESH VEG,2,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
POTATO BHUTANI VEG   1 ,BM66617,15987,LONG FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
COCONUT WATER FRUITS   1 ,BM9035,2028,LONG FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
PIDALU,BM64324,1201,LONG FRESH VEG,5,FRESH,FRESH FRUIT & VEGETABLE,Extinct
SWEET POTATO VEGETABLES   5 ,BM8973,1065,LONG FRESH VEG,5,FRESH,FRESH FRUIT & VEGETABLE,Extinct
GARLIC(D) VEGETABLES   0 ,BM20124,7102,LONG FRESH VEG,0,FRESH,FRESH FRUIT & VEGETABLE,Extinct
ROUND RED POTATO(D) VEGETABLES   0 ,BM20105,7083,LONG FRESH VEG,0,FRESH,FRESH FRUIT & VEGETABLE,Extinct
RED PUMPKIN(D) FRUITS   0 ,BM20085,7063,LONG FRESH VEG,0,FRESH,FRESH FRUIT & VEGETABLE,Extinct
TORUL BIG VEGETABLES   5 ,BM26625,1210,LONG FRESH VEG,5,FRESH,FRESH FRUIT & VEGETABLE,Extinct
WATERMELON LONG FRUITS   10 ,BM9072,2065,LONG FRUITS,10,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
APPLE FUJI THAILAND FRUITS   10 ,BM19859,2131,LONG FRUITS,10,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
GREEN PEARS USA FRUITS   1 ,BM16513,2119,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
APPLE CHOCOLATE FRUITS   10 ,BM9011,2004,LONG FRUITS,10,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
RED HONEY MELON FRUITS   10 ,BM20708,2155,LONG FRUITS,10,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
MUSTANG APPLE GRADED RANJEET   1 ,BM15402,2116,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
KIWI NEWZEALAND(D) FRUITS   1 ,BM20227,8094,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
SWEET TAMARIND 250G(D) FRUITS   1 ,BM20231,8098,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
APPLE CHOCOLATE(D) FRUITS   1 ,BM20234,8101,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
WATERMELON ROUND(D) FRUITS   1 ,BM20237,8104,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
APPLE(D) FRUITS   1 ,BM20240,8107,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
PAPAYA    1 ,BM9056,2049,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
POMEGRANATE RED FRUITS   1 ,BM9046,2039,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
ORANGE INDIA FRUITS   10 ,BM9051,2044,LONG FRUITS,10,FRESH,FRESH FRUIT & VEGETABLE,Extinct
ORANGE 2045 FRUITS   10 ,BM9052,2045,LONG FRUITS,10,FRESH,FRESH FRUIT & VEGETABLE,Extinct
KIWI NEWZEALAND FRUITS   1 ,BM9041,2034,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
KIWI FRUITS   1 ,BM9043,2036,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
ORANGE NEPAL FRUITS   0 ,BM9050,1111,LONG FRUITS,0,FRESH,FRESH FRUIT & VEGETABLE,Extinct
POMEGRANATE WHITE NEPAL FRUITS   1 ,BM9047,2040,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
MAUSAM NEPAL    1 ,BM9057,2050,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
BANANA NEPAL FRUITS   1 ,BM9060,2053,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
MAUSAM INDIA FRUITS   5 ,BM9058,2051,LONG FRUITS,5,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
AVACADO NEPAL FRUITS   1 ,BM16724,2120,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
SWEET MELON FRUITS   10 ,BM9078,2071,LONG FRUITS,10,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
KIWI AUSTRALIA(D) FRUITS   1 ,BM20167,8034,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
ORANGE NAVELS FRUITS   5 ,BM29984,2145,LONG FRUITS,5,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
PINEAPPLE INDIA FRUITS   1 ,BM9036,2029,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
APPLE RED THAILAND FRUITS   0 ,BM9010,2003,LONG FRUITS,0,FRESH,FRESH FRUIT & VEGETABLE,Extinct
