Our list of product,,,,,,,,,,,oracele ko list,,
S.no,Product Name,Item Code,Barcode,asdasd,MOQ,Division,Department,Status,,,ITEM_NAME,ICODE,BARCODE
148,WATERMELON LONG FRUITS 10,BM9072,2065,82,10,FRESH,LONG FRUITS,Active,,,I.L.D MANGO BOMBAY I.L.D   1 ,BM66187,789
149,WATERMELON ROUND FRUITS 10,BM9073,2066,#N/A,10,FRESH,LONG FRUITS,Inactive,,,,,
150,WATERMEON GREEN FRUITS 10,BM9074,2067,121,10,FRESH,LONG FRUITS,Active,,,,,
151,WATERMELON SLICE 1,BM9075,2068,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
152,WATERMELON HALF 1,BM9076,2069,108,1,FRESH,LONG FRUITS,Active,,,,,
153,SWEET MELON FRUITS 10,BM9078,2071,87,10,FRESH,LONG FRUITS,Active,,,,,
154,KARIMA FRUITS 1,BM9081,2074,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
155,PLUMS RED FRUITS 5,BM9083,2076,140,5,FRESH,SOFT FRUITS,Active,,,,,
156,PLUMS YELLOW FRUITS 1,BM9085,2078,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
157,PLUMS BLACK FRUITS 1,BM9086,2079,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
158,PLUMS FRUITS 1,BM9087,2080,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
159,DRAGON FRUIT FRUITS 1,BM9090,2083,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
160,RAMBUTAN FRUITS 1,BM9091,2084,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
161,AVOCADO FRUITS 3,BM9093,2086,#N/A,3,FRESH,LONG FRUITS,Inactive,,,,,
162,CHIKOO FRUITS 1,BM9094,2087,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
163,DATES FRUITS 1,BM9098,2091,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
164,AMALA FRUITS 1,BM9099,2092,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
165,BEL FRUIT FRUITS 1,BM9100,2093,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
166,CHESTNUT FRUITS 1,BM9102,2095,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
167,HALUWABED JAPAN FRUITS 1,BM9103,2096,#N/A,1,FRESH,LONG FRUITS,Inactive,,,,,
168,BAYAR FRUITS 2,BM9104,2097,#N/A,2,FRESH,LONG FRUITS,Inactive,,,,,
